"Name","Comments","Size","Type","Date Modified","Lent to","Disk Location","Location","Path",
"My Collection","The sample collection contains CDs, saparate FILES and BOOKs at \\My Collection\_My Books",,"Collection Folder",,,"","\\",,
"My Contacts","You can lend a volume or a custom item to the user by dragging it and dropping on a user.",,"List of Contacts",,,"","\\",,
"My Keywords","",,"List of Keywords",,,"","\\",,
"Appz/Warez","","10.29 GB (11,052,543,443 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Backupz","","6.98 GB (7,494,724,004 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Bookz","","16.05 GB (17,228,960,857 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Docucational","","148.31 GB (159,243,754,760 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Gamez","","25.01 GB (26,853,345,810 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Moviez","","209.36 GB (224,802,805,156 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Moviez (H.264)","","0 Bytes","Virtual folder",,,"","\\My Collection\",,
"Music Videoz","","8.46 GB (9,080,790,442 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Musicz","","41.31 GB (44,360,203,515 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Samplez","","8.18 GB (8,777,937,207 Bytes)","Virtual folder",,,"","\\My Collection\",,
"TV Showz","","659.93 GB (708,589,937,617 Bytes)","Virtual folder",,,"","\\My Collection\",,
"Linux Warez #1","","696.18 MB (729,996,279 Bytes)","CD-ROM Drive",,,"","\\My Collection\Appz/Warez\","G:\",
"Warez #05","","649.33 MB (680,873,283 Bytes)","CD-ROM Drive",,,"","\\My Collection\Appz/Warez\","G:\",
"Warez #22a","","629.87 MB (660,465,491 Bytes)","CD-ROM Drive",,,"","\\My Collection\Appz/Warez\","G:\",
"Warez #22b","","697.69 MB (731,575,883 Bytes)","CD-ROM Drive",,,"","\\My Collection\Appz/Warez\","G:\",
